latitude,longitude
51.1267877,-114.1329645
53.636387,-113.374023
54.71724,-113.254056
54.1196258,-114.4015147
54.1197041,-114.4001676
50.7892616,-112.461057
55.2136098,-119.4240928
52.467744,-114.04616
55.710472,-116.914222
51.351585,-110.478813
54.26373,-110.7393
54.2637533,-110.7414916
54.26373,-110.7393
49.8655484,-111.3793987
51.092455,-115.35172
54.588366,-112.801974
53.55136,-113.486
53.1092291,-114.4712943
50.5676564,-111.890977
53.014198,-112.830093
51.09301,-115.350651
49.201947,-113.305761
52.648905,-113.575936
52.2606267,-113.8183868
55.776981,-118.838754
49.68535,-112.8151851
50.018656,-113.582623
49.725825,-112.607294
54.4658735,-110.199018
52.0098399,-110.7820183
52.0120048,-110.7717888
52.0964213,-111.4597738
52.0962638,-111.459203
54.263728,-110.739296
53.462682,-113.432304
52.788935,-111.859551
51.17925,-115.574865
53.522149,-113.613021
52.2234403,-111.9068616
53.494418,-112.033619
53.013725,-112.830994
53.5182625,-113.5310786
49.6131739,-114.4736247
52.868425,-112.272521
53.351493,-113.730785
51.661795,-114.123674
53.273049,-110.019164
53.212021,-114.969841
53.211841,-114.969193
51.470875,-112.745003
51.4698073,-112.7259344
53.59182,-116.407
53.8969745,-110.9058049
56.0709656,-118.3845521
51.0642833,-114.1339478
49.726332,-113.3932472
56.7176831,-111.3618006
53.693159,-113.213229
53.7033208,-113.2225242
54.4046429,-116.801403
54.12128065,-112.4652356
53.5601013,-113.4976534
53.8915173,-119.1192184
55.175391,-118.788449
53.4615831,-113.4297243
56.190432,-117.627213
56.190388,-117.62725
51.6489192,-111.9282036
52.669316,111.307616
55.431645,116.454926
50.575135,-113.879344
50.5751035,-113.8799478
53.397391,-117.586038
53.398281,-117.58529
52.019015,-113.9514399
49.68488,-112.814734
52.876107,-118.084299
52.788934,-111.859543
52.789351,-111.85897
54.764751,-111.964494
52.4606766,-113.7411041
53.762612,-112.788581
53.2548359,-113.5453314
50.124098,-113.108947
53.274952,-110.017784
56.9279959,-117.621417
50.03456,-110.70232
53.952194,-115.1472169
53.520191,-113.522727
50.034733,-110.702725
49.148256,-112.0763544
51.1791402,-115.5746754
53.5210277,-113.6123197
53.604272,-113.417472
56.7163523,-111.3622389
58.5135257,-117.1621529
50.6780144,-114.2344127
51.8013128,-114.1178349
52.2233878,-111.9068537
56.23018745,-117.3536897
56.231053,117.354442
51.078059,-113.98295
49.493452,-113.946935
49.8731985,-112.7773122
52.684724,-113.589511
52.357969,110.26484
55.1752923,-118.786568
49.4647002,-112.650584
52.2607786,-113.818671
53.9495991,-113.1255813
51.035999,-114.110878
52.6396975,-114.2459585
52.3785683,-114.920205
50.9898221,-114.096632
53.5573875,-113.497772
55.710475,-116.914218
52.876102,-118.084124
55.284356,-114.760739
54.121133,-112.465024
54.121031,-112.464953
50.8820756,-113.9511437
53.493974,-112.033805
53.49442,-112.03362
53.0142926,-112.8305401
53.014198,-112.830093
53.9888438,-111.2904497
58.3858843,-116.0122067
53.989267,-111.290463
52.323974,-112.72346
53.520463,-113.520921
51.060882,-113.386513
53.65524,-113.625711
51.807789,-114.635486
54.7274797,-115.403079
49.7850125,-112.1651375
53.5072809,-113.477577
51.7078018,-113.2510859
53.3726572,-112.6510992
51.063131,-114.133258
53.7132007,-111.731815
53.520463,-113.520921
53.5206343,-113.524527
55.066647,-117.273404
53.3547731,-110.8730789
53.0996627,-111.7764446
50.3961012,-113.2588
55.9429643,-113.8018573
52.840949,-110.865862
54.14653,-113.853259
53.537465,-113.977133
53.53827,-113.978791
52.986764,-113.367947
54.131598,-115.674435
54.7643782,-111.9635723
51.6376711,-121.2930534
55.7455893,-120.2501096
49.0241528,-123.0812712
49.3209903,-123.0404142
49.2244182,-122.6062374
49.051786,-122.315463
49.2259116,-122.6427073
49.038953,-122.852582
55.759787,-120.242
50.273778,-119.255517
50.025908,-125.27372
50.026306,-125.27363
49.1658526,-122.6236643
49.2346071,-122.5944504
50.7177569,-119.2529612
49.2759644,-117.6461235
50.708592,-119.2511272
49.2551157,-123.0327623
50.2664676,-119.2434272
49.2364595,-123.0949445
49.2279307,-123.070041
49.5156951,-115.7487471
49.107193,-122.415845
49.110777,-122.747127
49.1106832,-122.691835
49.222888,-123.029207
49.222641,-123.029465
49.5020649,-115.7749363
49.1623587,-122.5823423
49.2565375,-122.8710548
56.2337165,-120.8340087
49.1337379,-123.1212091
55.7674715,-120.249386
49.041893,-122.295136
49.037872,-122.312854
49.038729,-122.269714
48.850301,-123.71504
49.0541,-122.3176
48.4418999,-123.343
49.277419,-122.795021
